run,summary,status,iterations,error
claude_global_cli_real_20260825_211257,runs/claude_global_cli_real_20260825_211257/results/molmo_keypoint_cli/20260825T131258334092Z/summary.json,INTERRUPTED,1,
claude_global_cli_real_20260825_212207,runs/claude_global_cli_real_20260825_212207/results/molmo_keypoint_cli/20260825T132208346054Z/summary.json,INTERRUPTED,2,
claude_global_cli_real_20260825_222919,runs/claude_global_cli_real_20260825_222919/results/molmo_keypoint_cli/20260825T142920202861Z/summary.json,INTERRUPTED,1,
claude_global_cli_real_20260825_223554,runs/claude_global_cli_real_20260825_223554/results/molmo_keypoint_cli/20260825T143555040485Z/summary.json,INTERRUPTED,4,
claude_global_cli_real_20260825_232406,runs/claude_global_cli_real_20260825_232406/results/molmo_keypoint_cli/20260825T152407558457Z/summary.json,RUNNING,0,
claude_global_cli_real_20260826_001709,runs/claude_global_cli_real_20260826_001709/results/molmo_keypoint_cli/20260825T161710142067Z/summary.json,INTERRUPTED,1,
claude_global_cli_real_20260826_002554,runs/claude_global_cli_real_20260826_002554/results/molmo_keypoint_cli/20260825T162555245893Z/summary.json,FAILED,7,PerceptionError: perception validation blocked Molmo/Claude/robot: camera A garment mask covers only 0.056 of its silhouette (< 0.350)
claude_global_cli_real_20260826_142453,runs/claude_global_cli_real_20260826_142453/results/molmo_keypoint_cli/20260826T062454037856Z/summary.json,FAILED,1,AutoExplorationError: physical rollout did not complete: ['KeyboardInterrupt: ']
claude_rgb_diagnosis_20260827T055845960232Z,,NO_SUMMARY,,
claude_rgb_diagnosis_20260827T060026430202Z,,NO_SUMMARY,,
collar_high_lift_02,runs/collar_high_lift_02/results/collar_lift_retreat/20260824T180034904401Z/summary.json,FAILED,,"CollarLiftRetreatError: Claude/reference located collar fabric, but the shared grasp-height policy could not produce a legal engaged grasp: no legal engaged grasp Z exists: surface_z=0.54 mm, local_table_z=1.102948009967804 mm, plane_table_z=1.13 mm, robot_lower_z=0.00 mm, table_clearance_lower_z=6.13 mm, required_compression>=0.75 mm"
